,name,addr,city,phone,type,cuisine_type
0,arnie morton's of chicago, 435 s. la cienega blv . ,los angeles,3102461501,american,america
1,art's delicatessen, 12224 ventura blvd. ,studio city,8187621221,american,mercian
2,campanile, 624 s. la brea ave. ,los angeles,2139381447,american,amurican
3,fenix, 8358 sunset blvd. west ,hollywood,2138486677,american,americen
4,grill on the alley, 9560 dayton way ,los angeles,3102760615,american,americann
5,restaurant katsu, 1972 n. hillhurst ave. ,los angeles,2136651891,asian,asiian
6,locanda veneta, 3rd st. ,los angeles,3102741893,italian,italian
7,matsuhisa, 129 n. la cienega blvd. ,beverly hills,3106599639,asian,asiann
8,the palm, 9001 santa monica blvd. ,los angeles,3105508811,american,america
9,philippe's the original, 1001 n. alameda st. ,los angeles,2136283781,american,mercian
10,rex il ristorante, 617 s. olive st. ,los angeles,2136272300,italian,italian
11,valentino, 3115 pico blvd. ,santa monica,3108294313,italian,italian
12,yujean kang's gourmet chinese cuisine,67 n. raymond ave. ,los angeles,8185850855,asian,asian
13,21 club,21 w. 52nd st. ,new york,2125827200,american,american
14,aureole,34 e. 61st st. ,new york,2123191660,american,america
15,cafe lalo, 201 w. 83rd st. ,new york,2124966031,coffeebar,co0ffebar
16,carmine's, 2450 broadway between 90th and 91st sts . ,new york,2123622200,italian,italian
17,chanterelle, 2 harrison st. near hudson st. ,new york,2129666960,american,americen
18,dawat, 210 e. 58th st. ,new york,2123557555,asian,assina
19,felidia, 243 e. 58th st. ,new york,2127581479,italian,italian
20,four seasons grill room,99 e. 52nd st. ,new york,2127549494,american,america
21,gotham bar & grill,12 e. 12th st. ,new york,2126204020,american,mercian
22,gramercy tavern,42 e. 20th st. between park ave. s and broadway ,new york,2124770777,american,amurican
23,jo jo, 160 e. 64th st. ,new york,2122235656,american,americen
24,lespinasse, 2 e. 55th st. ,new york,2123396719,american,americann
25,march, 405 e. 58th st. ,new york,2127546272,american,american
26,mesa grill, 102 5th ave. between 15th and 16th sts . ,new york,2128077400,american,america
27,mi cocina,57 jane st. off hudson st. ,new york,2126278273,mexican,mercian
28,park avenue cafe, 100 e. 63rd st. ,new york,2126441900,american,amurican
29,river cafe, 1 water st. at the east river ,brooklyn,7185225200,american,americen
30,san domenico, 240 central park s ,new york,2122655959,italian,italian
31,seryna,11 e. 53rd st. ,new york,2129809393,asian,asiian
32,shun lee west,43 w. 65th st. ,new york,2123718844,asian,asiann
33,sign of the dove, 1110 3rd ave. at 65th st. ,new york,2128618080,american,asian
34,smith & wollensky, 201 e. 49th st. ,new york,2127531530,american,assina
35,tavern on the green, in central park at 67th st. ,new york,2128733200,american,amurican
36,union square cafe,21 e. 16th st. ,new york,2122434020,american,americen
37,virgil's, 152 w. 44th st. ,new york,2129219494,american,americann
38,chin's, 3200 las vegas blvd. s ,las vegas,7027338899,asian,asiian
39,coyote cafe, 3799 las vegas blvd. s ,las vegas,7028917349,southwestern,southwestern
40,steak house, 2880 las vegas blvd. s ,las vegas,7027340410,steakhouses,steakhouses
41,abruzzi, 2355 peachtree rd. . peachtree battle shopping center ,atlanta,4042618186,italian,assina
42,bone's, 3130 piedmont road ,atlanta,4042372663,american,america
43,buckhead diner, 3073 piedmont road ,atlanta,4042623336,american,mercian
44,delectables, 1 margaret mitchell sq. ,atlanta,4046812909,american,amurican
45,georgia grille, 2290 peachtree rd. . peachtree square shopping center ,atlanta,4043523517,american,americen
46,heera of india, 595 piedmont ave. rio shopping mall ,atlanta,4048764408,asian,asiian
47,la grotta, 2637 peachtree rd. . peachtree house condominium ,atlanta,4042311368,italian,asiann
48,mary mac's tea room, 224 ponce de leon ave. ,atlanta,4048761800,southern,southern
49,veni vidi vici,41 14th st. ,atlanta,4048758424,italian,assina
50,boulevard, 1 mission st. ,san francisco,4155436084,american,america
51,campton place, 340 stockton st. ,san francisco,4159555555,american,mercian
52,hawthorne lane,22 hawthorne st. ,san francisco,4157779779,american,amurican
53,khan toke thai house, 5937 geary blvd. ,san francisco,4156686654,asian,americen
54,mifune japan center kintetsu building, 1737 post st. ,san francisco,4159220337,asian,asiian
55,postrio, 545 post st. ,san francisco,4157767825,american,asiann
56,ritz-carlton restaurant and dining room, 600 stockton st. ,san francisco,4152967465,american,asian
57,rose pistola, 532 columbus ave. ,san francisco,4153990499,italian,assina
58,il nido, 251 e. 53rd st. ,new york,2127538450,italian,amurican
59,remi, 145 w. 53rd st. ,new york,2125814242,italian,americen
60,adriano's ristorante, 2930 beverly glen circle ,los angeles,3104759807,italian,americann
61,barney greengrass, 9570 wilshire blvd. ,beverly hills,3107775877,american,american
62,border grill, 4th st. ,los angeles,3104511655,mexican,mexicam
63,broadway deli, 3rd st. promenade ,santa monica,3104510616,american,america
64,ca   brea, 346 s. la brea ave. ,los angeles,2139382863,italian,mercian
65,ca   del sol, 4100 cahuenga blvd. ,los angeles,8189854669,italian,amurican
66,canter's, 419 n. fairfax ave. ,los angeles,2136512030,american,americen
67,chan dara, 310 n. larchmont blvd. ,los angeles,2134671052,asian,asiian
68,drago, 2628 wilshire blvd. ,santa monica,3108281585,italian,asiann
69,ed debevic's, 134 n. la cienega ,los angeles,3106591952,american,asian
70,el cholo, 1121 s. western ave. ,los angeles,2137342773,mexican,mexicana
71,gilliland's, 2424 main st. ,santa monica,3103923901,american,amurican
72,gladstone's, 4 fish 17300 pacific coast hwy . at sunset blvd. ,pacific palisades,3104543474,american,americen
73,hard rock cafe, 8600 beverly blvd. ,los angeles,3102767605,american,americann
74,harry's bar & american grill, 2020 ave. of the stars ,los angeles,3102772333,italian,american
75,il fornaio cucina italiana, 301 n. beverly dr. ,los angeles,3105508330,italian,americen
76,joss, 9255 sunset blvd. ,los angeles,3102761886,asian,asiian
77,le colonial, 8783 beverly blvd. ,los angeles,3102890660,asian,asiian
78,louise's trattoria, 4500 los feliz blvd. ,los angeles,2136670777,italian,asiann
79,mon kee seafood restaurant, 679 n. spring st. ,los angeles,2136286717,asian,asiian
80,morton's, 8764 melrose ave. ,los angeles,3102765205,american,asiann
81,nate   n   al's, 414 n. beverly dr. ,los angeles,3102740101,american,asian
82,nicola, 601 s. figueroa st. ,los angeles,2134850927,american,assina
83,ocean avenue, 1401 ocean ave. ,santa monica,3103945669,american,americen
84,orleans, 11705 national blvd. ,los angeles,3104794187,cajun,americann
85,pacific dining car, 6th st. ,los angeles,2134836000,american,american
86,paty's, 10001 riverside dr. ,toluca lake,8187619126,american,american
87,posto, 14928 ventura blvd. ,sherman oaks,8187844400,italian,itallian
88,prego, 362 n. camden dr. ,los angeles,3102777346,italian,talina
89,rj's the rib joint, 252 n. beverly dr. ,los angeles,3102747427,american,america
90,remi, 3rd st. promenade ,santa monica,3103936545,italian,mercian
91,restaurant horikawa, 111 s. san pedro st. ,los angeles,2136809355,asian,asiian
92,roscoe's house of chicken   n   waffles, 1514 n. gower st. ,los angeles,2134669329,american,asiann
93,swingers, 8020 beverly blvd. ,los angeles,2136535858,american,asian
94,tavola calda, 7371 melrose ave. ,los angeles,2136586340,italian,assina
95,the mandarin, 430 n. camden dr. ,los angeles,3108590926,asian,asiian
96,tommy tang's, 7313 melrose ave. ,los angeles,2139375733,asian,asiann
97,tra di noi, 3835 cross creek rd. ,los angeles,3104560169,italian,asian
98,trader vic's, 9876 wilshire blvd. ,los angeles,3102766345,asian,assina
99,vida, 1930 north hillhurst ave. ,los feliz,2136604446,american,america
100,west beach cafe,60 n. venice blvd. ,los angeles,3108235396,american,mercian
101,20 mott,20 mott st. between bowery and pell st. ,new york,2129640380,asian,asiian
102,9 jones street, 9 jones st. ,new york,2129891220,american,asiann
103,aja, 937 broadway at 22nd st. ,new york,2124738388,american,asian
104,alamo, 304 e. 48th st. ,new york,2127590590,mexican,mexico
105,alley's end, 311 w. 17th st. ,new york,2126278899,american,america
106,ambassador grill, 1 united nations plaza at 44th st. ,new york,2127025014,american,mercian
107,american place, 2 park ave. at 32nd st. ,new york,2126842122,american,amurican
108,anche vivolo, 222 e. 58th st. between 2nd and 3rd aves . ,new york,2123080112,italian,americen
109,arizona, 206 206 e. 60th st. ,new york,2128380440,american,americann
110,arturo's, 106 w. houston st. off thompson st. ,new york,2126773820,italian,american
111,au mandarin, 200-250 vesey st. world financial center ,new york,2123850313,asian,asiian
112,barbetta, 321 w. 46th st. ,new york,2122469171,italian,asiann
113,ben benson's, 123 w. 52nd st. ,new york,2125818888,american,asian
114,big cup, 228 8th ave. between 21st and 22nd sts . ,new york,2122060059,coffeebar,coffee bar
115,billy's, 948 1st ave. between 52nd and 53rd sts . ,new york,2127531870,american,amurican
116,boonthai, 1393a 2nd ave. between 72nd and 73rd sts . ,new york,2122498484,asian,asiian
117,brothers bar-b-q, 225 varick st. at clarkston st. ,new york,2127272775,american,asiann
118,bruno, 240 e. 58th st. ,new york,2126884190,italian,asian
119,bryant park grill roof restaurant and bp cafe,25 w. 40th st. between 5th and 6th aves . ,new york,2128406500,american,assina
120,c3, 103 waverly pl . near washington sq. ,new york,2122541200,american,mercian
121,cafe bianco, 1486 2nd ave. between 77th and 78th sts . ,new york,2129882655,coffeebar,cofebar
122,cafe la fortuna,69 w. 71st st. ,new york,2127245846,coffeebar,cooffeebar
123,caffe dante,81 macdougal st. between houston and bleeker sts . ,new york,2129825275,coffeebar,coffeebar
124,caffe dell   artista,46 greenwich ave. ,new york,2126454431,coffeebar,american
125,caffe reggio, 119 macdougal st. between 3rd and bleecker sts . ,new york,2124759557,coffeebar,co0ffebar
126,caffe roma, 385 broome st. at mulberry ,new york,2122268413,coffeebar,coffee bar
127,caffe vivaldi,32 jones st. at bleecker st. ,new york,2126917538,coffeebar,cofebar
128,caffe bondi ristorante, 7 w. 20th st. ,new york,2126918136,italian,cooffeebar
129,cendrillon asian grill & marimba bar,45 mercer st. between broome and grand sts . ,new york,2123439012,asian,coffeebar
130,chiam, 160 e. 48th st. ,new york,2123712323,asian,american
131,china grill,60 w. 53rd st. ,new york,2123337788,american,american
132,coco pazzo,23 e. 74th st. ,new york,2127940205,italian,assina
133,columbus bakery, 53rd sts . ,new york,2124210334,coffeebar,amurican
134,corrado cafe, 1013 3rd ave. between 60th and 61st sts . ,new york,2127535100,coffeebar,americen
135,cupcake cafe, 522 9th ave. at 39th st. ,new york,2124651530,coffeebar,americann
136,da nico, 164 mulberry st. between grand and broome sts . ,new york,2123431212,italian,american
137,dean & deluca, 121 prince st. ,new york,2122548776,coffeebar,co0ffebar
138,diva, 341 w. broadway near grand st. ,new york,2129419024,italian,coffee bar
139,duane park cafe, 157 duane st. between w. broadway and hudson st. ,new york,2127325555,american,cofebar
140,el teddy's, 219 w. broadway between franklin and white sts . ,new york,2129417070,mexican,mexicann
141,em ily's, 1325 5th ave. at 111th st. ,new york,2129961212,american,coffeebar
142,em pire korea, 6 e. 32nd st. ,new york,2127251333,asian,american
143,ernie's, 2150 broadway between 75th and 76th sts . ,new york,2124961588,american,asiann
144,evergreen cafe, 1288 1st ave. at 69th st. ,new york,2127443266,asian,asian
145,f. ille ponte ristorante,39 desbrosses st. near west st. ,new york,2122264621,italian,assina
146,fifty seven fifty seven,57 e. 57th st. ,new york,2127585757,american,america
147,film center cafe, 635 9th ave. between 44th and 45th sts . ,new york,2122622525,american,america
148,fiorello's roman cafe, 1900 broadway between 63rd and 64th sts . ,new york,2125955330,italian,mercian
149,firehouse, 522 columbus ave. between 85th and 86th sts . ,new york,2125953139,american,amurican
150,first,87 1st ave. between 5th and 6th sts . ,new york,2126743823,american,americen
151,fleur de jour, 348 e. 62nd st. ,new york,2123552020,coffeebar,co0ffebar
152,flowers,21 west 17th st. between 5th and 6th aves . ,new york,2126918888,american,coffee bar
153,follonico, 6 w. 24th st. ,new york,2126916359,italian,cofebar
154,fraunces tavern,54 pearl st. at broad st. ,new york,2122690144,american,cooffeebar
155,french roast cafe, 2340 broadway at 85th st. ,new york,2127991533,coffeebar,coffeebar
156,frico bar, 402 w. 43rd st. off 9th ave. ,new york,2125647272,italian,american
157,fujiyama mama, 467 columbus ave. between 82nd and 83rd sts . ,new york,2127691144,asian,asiian
158,gabriela's, 685 amsterdam ave. at 93rd st. ,new york,2129610574,mexican,mejicana
159,gallagher's, 228 w. 52nd st. ,new york,2122455336,american,asian
160,girafe, 208 e. 58th st. between 2nd and 3rd aves . ,new york,2127523054,italian,assina
161,global,33 93 2nd ave. between 5th and 6th sts . ,new york,2124778427,american,america
162,golden unicorn,18 e. broadway at catherine st. ,new york,2129410911,asian,asiian
163,grand ticino, 228 thompson st. between w. 3rd and bleecker sts . ,new york,2127775922,italian,asiann
164,halcyon, 151 w. 54th st. in the rihga royal hotel ,new york,2124688888,american,asian
165,hard rock cafe, 221 w. 57th st. ,new york,2124896565,american,assina
166,hi-life restaurant and lounge, 1340 1st ave. at 72nd st. ,new york,2122493600,american,american
167,home,20 cornelia st. between bleecker and w. 4th st. ,new york,2122439579,american,america
168,hudson river club, 4 world financial center ,new york,2127861500,american,mercian
169,i trulli, 122 e. 27th st. between lexington and park aves . ,new york,2124817372,italian,amurican
170,il cortile, 125 mulberry st. between canal and hester sts . ,new york,2122266060,italian,americen
171,indochine, 430 lafayette st. between 4th st. and astor pl . ,new york,2125055111,asian,asiian
172,internet cafe,82 e. 3rd st. between 1st and 2nd aves . ,new york,2126140747,coffeebar,asiann
173,jewel of india,15 w. 44th st. ,new york,2128695544,asian,asian
174,jimmy sung's, 219 e. 44th st. between 2nd and 3rd aves . ,new york,2126825678,asian,assina
175,joe allen, 326 w. 46th st. ,new york,2125816464,american,america
176,judson grill, 152 w. 52nd st. ,new york,2125825252,american,mercian
177,lanza restaurant, 168 1st ave. between 10th and 11th sts . ,new york,2126747014,italian,amurican
178,lattanzi ristorante, 361 w. 46th st. ,new york,2123150980,italian,americen
179,le colonial, 149 e. 57th st. ,new york,2127520808,asian,asiian
180,le gamin,50 macdougal st. between houston and prince sts . ,new york,2122544678,coffeebar,asiann
181,le madri, 168 w. 18th st. ,new york,2127278022,italian,asian
182,le marais, 150 w. 46th st. ,new york,2128690900,american,assina
183,le select, 507 columbus ave. between 84th and 85th sts . ,new york,2128751993,american,mercian
184,lincoln tavern,51 w. 64th st. ,new york,2127218271,american,amurican
185,lola,30 west 22nd st. between 5th and 6th ave. ,new york,2126756700,american,americen
186,main street, 446 columbus ave. between 81st and 82nd sts . ,new york,2128735025,american,americann
187,mangia e bevi, 800 9th ave. at 53rd st. ,new york,2129563976,italian,american
188,manhattan cafe, 1161 1st ave. between 63rd and 64th sts . ,new york,2128886556,american,american
189,manila garden, 325 e. 14th st. between 1st and 2nd aves . ,new york,2127776314,asian,asiian
190,marquet patisserie,15 e. 12th st. between 5th ave. and university pl . ,new york,2122299313,coffeebar,asiann
191,match, 160 mercer st. between houston and prince sts . ,new york,2129069173,american,asian
192,matthew's, 1030 3rd ave. at 61st st. ,new york,2128384343,american,assina
193,mavalli palace,46 e. 29th st. ,new york,2126795535,asian,asiian
194,milan cafe and coffee bar, 120 w. 23rd st. ,new york,2128071801,coffeebar,asiann
195,monkey bar,60 e. 54th st. ,new york,2128382600,american,asian
196,montien, 1134 1st ave. between 62nd and 63rd sts . ,new york,2124214433,asian,assina
197,morton's, 551 5th ave. at 45th st. ,new york,2129723315,american,american
198,motown cafe, 104 w. 57th st. near 6th ave. ,new york,2125818030,american,american
199,new york kom tang soot bul house,32 w. 32nd st. ,new york,2129478482,asian,asiian
200,new york noodletown,28 1/2 bowery at bayard st. ,new york,2123490923,asian,asiann
201,newsbar, 2 w. 19th st. ,new york,2122553996,coffeebar,co0ffebar
202,odeon, 145 w. broadway at thomas st. ,new york,2122330507,american,coffee bar
203,orso, 322 w. 46th st. ,new york,2124897212,italian,cofebar
204,osteria al droge, 142 w. 44th st. ,new york,2129443643,italian,cooffeebar
205,otabe,68 e. 56th st. ,new york,2122237575,asian,coffeebar
206,pacifica, 138 lafayette st. between canal and howard sts . ,new york,2129414168,asian,american
207,palio, 151 w. 51st . st. ,new york,2122454850,italian,asian
208,parioli romanissimo,24 e. 81st st. ,new york,2122882391,italian,assina
209,pen & pencil, 205 e. 45th st. ,new york,2126828660,american,american
210,penang soho, 109 spring st. between greene and mercer sts . ,new york,2122748883,asian,asiian
211,planet hollywood, 140 w. 57th st. ,new york,2123337827,american,asiann
212,popover cafe, 551 amsterdam ave. between 86th and 87th sts . ,new york,2125958555,american,asian
213,post house,28 e. 63rd st. ,new york,2129352888,american,assina
214,rain, 100 w. 82nd st. ,new york,2125010776,asian,asiian
215,republic, 37a union sq. w between 16th and 17th sts . ,new york,2126277172,asian,asiann
216,rosa mexicano, 1063 1st ave. at 58th st. ,new york,2127537407,mexican,mexican
217,ruth's chris, 148 w. 51st st. ,new york,2122459600,american,assina
218,s.p.q.r, 133 mulberry st. between hester and grand sts . ,new york,2129253120,italian,itlian
219,sal anthony's,55 irving pl . ,new york,2129829030,italian,itlian
220,san pietro,18 e. 54th st. ,new york,2127539015,italian,itlian
221,sant ambroeus, 1000 madison ave. between 77th and 78th sts . ,new york,2125702211,coffeebar,co0ffebar
222,sarabeth's kitchen, 423 amsterdam ave. between 80th and 81st sts . ,new york,2124966280,american,coffee bar
223,serendipity, 3 225 e. 60th st. ,new york,2128383531,american,cofebar
224,seventh regiment mess and bar, 643 park ave. at 66th st. ,new york,2127444107,american,cooffeebar
225,sfuzzi,58 w. 65th st. ,new york,2128733700,american,coffeebar
226,shaan,57 w. 48th st. ,new york,2129778400,asian,american
227,sofia fabulous pizza, 1022 madison ave. near 79th st. ,new york,2127342676,italian,itlian
228,spring street natural restaurant & bar,62 spring st. at lafayette st. ,new york,2129660290,american,american
229,sweet   n   tart cafe,76 mott st. at canal st. ,new york,2123348088,asian,asian
230,t salon, 143 mercer st. at prince st. ,new york,2129253700,coffeebar,co0ffebar
231,tang pavillion,65 w. 55th st. ,new york,2129566888,asian,coffee bar
232,tapika, 950 8th ave. at 56th st. ,new york,2123973737,american,cofebar
233,the coffee pot, 350 9th ave. at 49th st. ,new york,2122653566,coffeebar,co0ffebar
234,the savannah club, 2420 broadway at 89th st. ,new york,2124961066,american,coffee bar
235,trattoria dell   arte, 900 7th ave. between 56th and 57th sts . ,new york,2122459800,italian,itlian
236,triangolo, 345 e. 83rd st. ,new york,2124724488,italian,italian
237,tribeca grill, 375 greenwich st. near franklin st. ,new york,2129413900,american,coffeebar
238,trois jean, 154 e. 79th st. between lexington and 3rd aves . ,new york,2129884858,coffeebar,american
239,tse yang,34 e. 51st st. ,new york,2126885447,asian,asian
240,two two two, 222 w. 79th st. ,new york,2127990400,american,american
241,veniero's pasticceria, 342 e. 11th st. near 1st ave. ,new york,2126747264,coffeebar,cofebar
242,verbena,54 irving pl . at 17th st. ,new york,2122605454,american,american
243,vince & eddie's,70 w. 68th st. ,new york,2127210068,american,american
244,vong, 200 e. 54th st. ,new york,2124869592,american,american
245,water club, 500 e. 30th st. ,new york,2126833333,american,american
246,west, 63rd street steakhouse 44 w. 63rd st. ,new york,2122466363,american,american
247,zoe,90 prince st. between broadway and mercer st. ,new york,2129666722,american,american
248,annie's thai castle, 3195 roswell rd. ,atlanta,4042649546,asian,asian
